agents,kmax,percent,ratio,profit,distance
1,37,-1,0.30,105,169448.85
1,37,-1,0.30,130,188396.44
1,37,-1,0.30,155,239074.02
1,37,-1,0.30,180,246364.36
1,37,-1,0.30,205,264415.93
1,37,-1,0.30,230,507477.24
1,37,-1,0.30,255,513575.74
1,37,-1,0.30,280,600420.48
1,39,-1,0.30,5,60922.88
1,39,-1,0.30,30,66983.81
1,39,-1,0.30,55,139052.19
1,39,-1,0.30,80,154658.41
1,39,-1,0.30,105,169448.85
1,39,-1,0.30,130,188396.44
1,39,-1,0.30,155,239074.02
1,39,-1,0.30,180,246364.36
1,39,-1,0.30,205,264415.93
1,39,-1,0.30,230,507477.24
1,39,-1,0.30,255,513575.74
1,39,-1,0.30,280,600437.02
2,1,-1,0.30,5,60971.98
2,1,-1,0.30,30,85960.96
2,1,-1,0.30,55,165438.58
2,1,-1,0.30,80,183071.15
2,1,-1,0.30,105,221250.22
2,1,-1,0.30,130,272234.78
2,1,-1,0.30,155,300395.28
2,1,-1,0.30,180,314967.46
2,1,-1,0.30,205,346911.91
2,1,-1,0.30,230,606774.45
2,1,-1,0.30,255,624266.84
2,1,-1,0.30,280,756538.99
2,3,-1,0.30,5,60971.98
2,3,-1,0.30,30,85960.96
2,3,-1,0.30,55,165431.65
2,3,-1,0.30,80,182938.85
2,3,-1,0.30,105,220522.63
2,3,-1,0.30,130,267122.11
2,3,-1,0.30,155,299120.10
2,3,-1,0.30,180,312520.13
2,3,-1,0.30,205,341921.45
2,3,-1,0.30,230,598910.64
2,3,-1,0.30,255,618346.46
2,3,-1,0.30,280,708199.56
2,5,-1,0.30,5,60971.98
2,5,-1,0.30,30,85960.96
2,5,-1,0.30,55,165431.65
2,5,-1,0.30,80,182938.85
2,5,-1,0.30,105,220530.57
2,5,-1,0.30,130,267094.28
2,5,-1,0.30,155,298882.93
2,5,-1,0.30,180,311977.94
2,5,-1,0.30,205,337890.58
2,5,-1,0.30,230,594238.94
2,5,-1,0.30,255,611412.49
2,5,-1,0.30,280,705673.44
2,7,-1,0.30,5,60971.98
2,7,-1,0.30,30,85960.96
2,7,-1,0.30,55,165431.65
2,7,-1,0.30,80,182938.85
2,7,-1,0.30,105,220530.57
2,7,-1,0.30,130,267062.65
2,7,-1,0.30,155,298747.12
2,7,-1,0.30,180,311334.58
2,7,-1,0.30,205,336671.33
2,7,-1,0.30,230,589659.36
2,7,-1,0.30,255,608741.97
2,7,-1,0.30,280,699103.36
2,9,-1,0.30,5,60971.98
2,9,-1,0.30,30,85960.96
2,9,-1,0.30,55,165431.65
2,9,-1,0.30,80,182938.85
2,9,-1,0.30,105,220523.89
2,9,-1,0.30,130,267049.29
2,9,-1,0.30,155,298721.64
2,9,-1,0.30,180,311300.84
2,9,-1,0.30,205,336142.69
2,9,-1,0.30,230,589527.96
2,9,-1,0.30,255,605094.71
2,9,-1,0.30,280,693854.15
2,11,-1,0.30,5,60971.98
2,11,-1,0.30,30,85960.96
2,11,-1,0.30,55,165431.65
2,11,-1,0.30,80,182938.85
2,11,-1,0.30,105,220523.89
2,11,-1,0.30,130,266381.67
2,11,-1,0.30,155,298104.17
2,11,-1,0.30,180,311274.25
2,11,-1,0.30,205,335609.32
2,11,-1,0.30,230,588413.02
2,11,-1,0.30,255,604058.82
2,11,-1,0.30,280,690246.48
2,13,-1,0.30,5,60971.98
2,13,-1,0.30,30,85960.96
2,13,-1,0.30,55,165431.65
2,13,-1,0.30,80,182938.85
2,13,-1,0.30,105,220427.88
2,13,-1,0.30,130,266189.65
2,13,-1,0.30,155,297881.24
2,13,-1,0.30,180,310736.94
2,13,-1,0.30,205,335285.98
2,13,-1,0.30,230,587857.12
2,13,-1,0.30,255,603466.16
2,13,-1,0.30,280,687793.27
2,15,-1,0.30,5,60971.98
2,15,-1,0.30,30,85960.96
2,15,-1,0.30,55,165431.65
2,15,-1,0.30,80,182938.85
2,15,-1,0.30,105,220416.84
2,15,-1,0.30,130,266161.53
2,15,-1,0.30,155,297813.65
2,15,-1,0.30,180,310507.90
2,15,-1,0.30,205,335074.39
2,15,-1,0.30,230,587015.98
2,15,-1,0.30,255,602905.26
2,15,-1,0.30,280,685125.33
2,17,-1,0.30,5,60971.98
2,17,-1,0.30,30,85960.96
2,17,-1,0.30,55,165431.65
2,17,-1,0.30,80,182938.85
2,17,-1,0.30,105,220416.84
2,17,-1,0.30,130,266077.37
2,17,-1,0.30,155,297818.01
2,17,-1,0.30,180,310512.26
2,17,-1,0.30,205,334970.49
2,17,-1,0.30,230,586784.79
2,17,-1,0.30,255,602674.07
2,17,-1,0.30,280,683035.17
2,19,-1,0.30,5,60971.98
2,19,-1,0.30,30,85960.96
2,19,-1,0.30,55,165431.65
2,19,-1,0.30,80,182938.85
2,19,-1,0.30,105,220416.84
2,19,-1,0.30,130,266069.92
2,19,-1,0.30,155,297818.01
2,19,-1,0.30,180,310510.54
2,19,-1,0.30,205,334960.06
2,19,-1,0.30,230,586013.97
2,19,-1,0.30,255,601890.65
2,19,-1,0.30,280,682522.71
2,21,-1,0.30,5,60971.98
2,21,-1,0.30,30,85960.96
2,21,-1,0.30,55,165431.65
2,21,-1,0.30,80,182938.85
2,21,-1,0.30,105,220416.84
2,21,-1,0.30,130,266069.92
2,21,-1,0.30,155,297818.01
2,21,-1,0.30,180,310510.54
2,21,-1,0.30,205,334960.06
2,21,-1,0.30,230,585907.81
2,21,-1,0.30,255,601824.24
2,21,-1,0.30,280,682522.71
2,23,-1,0.30,5,60971.98
2,23,-1,0.30,30,85960.96
2,23,-1,0.30,55,165431.65
2,23,-1,0.30,80,182938.85
2,23,-1,0.30,105,220416.84
2,23,-1,0.30,130,266069.92
2,23,-1,0.30,155,297818.01
2,23,-1,0.30,180,310500.43
2,23,-1,0.30,205,334882.71
2,23,-1,0.30,230,585821.64
2,23,-1,0.30,255,601731.30
2,23,-1,0.30,280,682246.42
2,25,-1,0.30,5,60971.98
2,25,-1,0.30,30,85960.96
2,25,-1,0.30,55,165431.65
2,25,-1,0.30,80,182938.85
2,25,-1,0.30,105,220416.84
2,25,-1,0.30,130,266069.92
2,25,-1,0.30,155,297818.01
2,25,-1,0.30,180,310476.46
2,25,-1,0.30,205,334814.20
2,25,-1,0.30,230,585814.85
2,25,-1,0.30,255,601699.50
2,25,-1,0.30,280,682180.28
2,27,-1,0.30,5,60971.98
2,27,-1,0.30,30,85960.96
2,27,-1,0.30,55,165431.65
2,27,-1,0.30,80,181807.12
2,27,-1,0.30,105,220416.84
2,27,-1,0.30,130,266066.52
2,27,-1,0.30,155,297813.65
2,27,-1,0.30,180,310315.37
2,27,-1,0.30,205,334803.95
2,27,-1,0.30,230,585680.24
2,27,-1,0.30,255,601574.33
2,27,-1,0.30,280,677228.45
2,29,-1,0.30,5,60971.98
2,29,-1,0.30,30,85960.96
2,29,-1,0.30,55,165431.65
2,29,-1,0.30,80,181807.12
2,29,-1,0.30,105,220416.84
2,29,-1,0.30,130,266066.52
2,29,-1,0.30,155,297813.65
2,29,-1,0.30,180,310248.76
2,29,-1,0.30,205,334776.58
2,29,-1,0.30,230,585509.85
2,29,-1,0.30,255,601459.29
2,29,-1,0.30,280,677210.64
2,31,-1,0.30,5,60971.98
