coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,1,16.00000,20,61542.06
dist,2,16.00000,20,61626.09
dist,4,16.00000,20,61631.66
dist,8,16.00000,20,61631.66
dist,10,16.00000,20,61631.66
dist,1,32.00000,20,61542.06
dist,2,32.00000,20,61626.09
dist,4,32.00000,20,61631.66
dist,8,32.00000,20,61631.66
dist,10,32.00000,20,61631.66
dist,1,64.00000,20,61542.06
dist,2,64.00000,20,61626.09
dist,4,64.00000,20,61631.66
dist,8,64.00000,20,61631.66
dist,10,64.00000,20,61631.66
dist,1,-1.00000,25,85918.59
dist,2,-1.00000,25,118788.35
dist,4,-1.00000,25,176184.85
dist,8,-1.00000,25,260166.25
dist,10,-1.00000,25,288923.49
dist,1,0.03125,25,62729.86
dist,2,0.03125,25,65403.82
dist,4,0.03125,25,65447.58
dist,8,0.03125,25,65447.58
dist,10,0.03125,25,65447.58
dist,1,0.06250,25,62729.86
dist,2,0.06250,25,65403.82
dist,4,0.06250,25,65447.58
dist,8,0.06250,25,65447.58
dist,10,0.06250,25,65447.58
dist,1,0.12500,25,62729.86
dist,2,0.12500,25,65403.82
dist,4,0.12500,25,65447.58
dist,8,0.12500,25,65447.58
dist,10,0.12500,25,65447.58
dist,1,0.25000,25,62729.86
dist,2,0.25000,25,65403.82
dist,4,0.25000,25,65447.58
dist,8,0.25000,25,65447.58
dist,10,0.25000,25,65447.58
dist,1,0.50000,25,62729.86
dist,2,0.50000,25,65403.82
dist,4,0.50000,25,65447.58
dist,8,0.50000,25,65447.58
dist,10,0.50000,25,65447.58
dist,1,1.00000,25,62729.86
dist,2,1.00000,25,65403.82
dist,4,1.00000,25,65447.58
dist,8,1.00000,25,65447.58
dist,10,1.00000,25,65447.58
dist,1,2.00000,25,62729.86
dist,2,2.00000,25,65403.82
dist,4,2.00000,25,65447.58
dist,8,2.00000,25,65447.58
dist,10,2.00000,25,65447.58
dist,1,4.00000,25,62729.86
dist,2,4.00000,25,65403.82
dist,4,4.00000,25,65447.58
dist,8,4.00000,25,65447.58
dist,10,4.00000,25,65447.58
dist,1,8.00000,25,62729.86
dist,2,8.00000,25,65403.82
dist,4,8.00000,25,65447.58
dist,8,8.00000,25,65447.58
dist,10,8.00000,25,65447.58
dist,1,16.00000,25,62729.86
dist,2,16.00000,25,65403.82
dist,4,16.00000,25,65447.58
dist,8,16.00000,25,65447.58
dist,10,16.00000,25,65447.58
dist,1,32.00000,25,62729.86
dist,2,32.00000,25,65403.82
dist,4,32.00000,25,65447.58
dist,8,32.00000,25,65447.58
dist,10,32.00000,25,65447.58
dist,1,64.00000,25,62729.86
dist,2,64.00000,25,65403.82
dist,4,64.00000,25,65447.58
dist,8,64.00000,25,65447.58
dist,10,64.00000,25,65447.58
dist,1,-1.00000,30,89029.69
dist,2,-1.00000,30,129118.26
dist,4,-1.00000,30,191436.33
dist,8,-1.00000,30,277930.55
dist,10,-1.00000,30,306761.13
dist,1,0.03125,30,66362.97
dist,2,0.03125,30,85972.77
dist,4,0.03125,30,86586.50
dist,8,0.03125,30,86586.50
dist,10,0.03125,30,86586.50
dist,1,0.06250,30,66362.97
dist,2,0.06250,30,85972.77
dist,4,0.06250,30,86586.50
dist,8,0.06250,30,86586.50
dist,10,0.06250,30,86586.50
dist,1,0.12500,30,66362.97
dist,2,0.12500,30,85972.77
dist,4,0.12500,30,86586.50
dist,8,0.12500,30,86586.50
dist,10,0.12500,30,86586.50
dist,1,0.25000,30,66362.97
dist,2,0.25000,30,85972.77
dist,4,0.25000,30,86586.50
dist,8,0.25000,30,86586.50
dist,10,0.25000,30,86586.50
dist,1,0.50000,30,66362.97
dist,2,0.50000,30,85972.77
