agents,kmax,percent,ratio,profit,distance
2,-1,-1,0.50,130,256818.77
2,-1,-1,0.50,155,296721.50
2,-1,-1,0.50,180,309042.66
2,-1,-1,0.50,205,333525.01
2,-1,-1,0.50,230,589808.49
2,-1,-1,0.50,255,604731.81
2,-1,-1,0.50,280,673570.05
2,-1,-1,0.60,5,60971.98
2,-1,-1,0.60,30,85960.96
2,-1,-1,0.60,55,165325.74
2,-1,-1,0.60,80,179588.36
2,-1,-1,0.60,105,220236.33
2,-1,-1,0.60,130,258234.03
2,-1,-1,0.60,155,296827.57
2,-1,-1,0.60,180,309181.47
2,-1,-1,0.60,205,334040.01
2,-1,-1,0.60,230,587091.75
2,-1,-1,0.60,255,604750.31
2,-1,-1,0.60,280,670859.73
2,-1,-1,0.70,5,60971.98
2,-1,-1,0.70,30,85960.96
2,-1,-1,0.70,55,165216.27
2,-1,-1,0.70,80,179953.57
2,-1,-1,0.70,105,220078.55
2,-1,-1,0.70,130,255394.36
2,-1,-1,0.70,155,295587.36
2,-1,-1,0.70,180,307199.26
2,-1,-1,0.70,205,332827.01
2,-1,-1,0.70,230,587452.32
2,-1,-1,0.70,255,605288.98
2,-1,-1,0.70,280,668444.33
2,-1,-1,0.80,5,60971.98
2,-1,-1,0.80,30,85960.96
2,-1,-1,0.80,55,165323.96
2,-1,-1,0.80,80,178806.82
2,-1,-1,0.80,105,220209.47
2,-1,-1,0.80,130,250964.15
2,-1,-1,0.80,155,294636.51
2,-1,-1,0.80,180,307513.07
2,-1,-1,0.80,205,333435.26
2,-1,-1,0.80,230,592282.99
2,-1,-1,0.80,255,604620.45
2,-1,-1,0.80,280,676717.51
2,-1,-1,0.90,5,60971.98
2,-1,-1,0.90,30,85960.96
2,-1,-1,0.90,55,165216.27
2,-1,-1,0.90,80,179287.31
2,-1,-1,0.90,105,219961.07
2,-1,-1,0.90,130,251776.13
2,-1,-1,0.90,155,295047.32
2,-1,-1,0.90,180,307811.12
2,-1,-1,0.90,205,332370.09
2,-1,-1,0.90,230,593627.87
2,-1,-1,0.90,255,605618.18
2,-1,-1,0.90,280,674595.94
2,-1,-1,1.00,5,60971.98
2,-1,-1,1.00,30,85960.96
2,-1,-1,1.00,55,164978.21
2,-1,-1,1.00,80,181185.65
2,-1,-1,1.00,105,220498.61
2,-1,-1,1.00,130,250620.94
2,-1,-1,1.00,155,299015.68
2,-1,-1,1.00,180,313166.90
2,-1,-1,1.00,205,344713.60
2,-1,-1,1.00,230,597817.99
2,-1,-1,1.00,255,612864.72
2,-1,-1,1.00,280,692260.19
3,-1,-1,-1.00,5,60971.98
3,-1,-1,-1.00,30,86542.96
3,-1,-1,-1.00,55,168909.47
3,-1,-1,-1.00,80,191781.12
3,-1,-1,-1.00,105,235754.35
3,-1,-1,-1.00,130,328782.03
3,-1,-1,-1.00,155,372612.49
3,-1,-1,-1.00,180,391418.29
3,-1,-1,-1.00,205,416227.77
3,-1,-1,-1.00,230,664531.50
3,-1,-1,-1.00,255,675635.05
3,-1,-1,-1.00,280,778506.10
3,-1,-1,0.10,5,60971.98
3,-1,-1,0.10,30,86542.96
3,-1,-1,0.10,55,168914.40
3,-1,-1,0.10,80,191796.50
3,-1,-1,0.10,105,235134.60
3,-1,-1,0.10,130,334227.91
3,-1,-1,0.10,155,372246.01
3,-1,-1,0.10,180,392585.45
3,-1,-1,0.10,205,422654.66
3,-1,-1,0.10,230,674408.30
3,-1,-1,0.10,255,697788.81
3,-1,-1,0.10,280,823363.68
3,-1,-1,0.20,5,60971.98
3,-1,-1,0.20,30,86542.96
3,-1,-1,0.20,55,168914.40
3,-1,-1,0.20,80,191796.50
3,-1,-1,0.20,105,235054.46
3,-1,-1,0.20,130,333611.34
3,-1,-1,0.20,155,372756.82
3,-1,-1,0.20,180,392346.66
3,-1,-1,0.20,205,422880.50
3,-1,-1,0.20,230,676572.31
3,-1,-1,0.20,255,700094.28
3,-1,-1,0.20,280,835381.80
3,-1,-1,0.30,5,60971.98
3,-1,-1,0.30,30,86542.96
3,-1,-1,0.30,55,168914.40
3,-1,-1,0.30,80,191796.50
3,-1,-1,0.30,105,235330.90
3,-1,-1,0.30,130,333900.06
3,-1,-1,0.30,155,371994.67
3,-1,-1,0.30,180,392286.91
3,-1,-1,0.30,205,424079.22
3,-1,-1,0.30,230,678296.98
3,-1,-1,0.30,255,700425.68
3,-1,-1,0.30,280,855609.85
3,-1,-1,0.40,5,60971.98
3,-1,-1,0.40,30,86542.96
3,-1,-1,0.40,55,168914.40
3,-1,-1,0.40,80,191796.50
3,-1,-1,0.40,105,235153.23
3,-1,-1,0.40,130,334461.85
3,-1,-1,0.40,155,373120.98
3,-1,-1,0.40,180,392409.58
3,-1,-1,0.40,205,423476.30
3,-1,-1,0.40,230,678764.22
3,-1,-1,0.40,255,698645.16
3,-1,-1,0.40,280,850076.35
3,-1,-1,0.50,5,60971.98
3,-1,-1,0.50,30,86542.96
3,-1,-1,0.50,55,168914.40
3,-1,-1,0.50,80,191796.50
3,-1,-1,0.50,105,235131.90
3,-1,-1,0.50,130,333882.22
3,-1,-1,0.50,155,373495.16
3,-1,-1,0.50,180,391687.95
3,-1,-1,0.50,205,420848.15
3,-1,-1,0.50,230,673915.86
3,-1,-1,0.50,255,697689.43
3,-1,-1,0.50,280,858545.45
3,-1,-1,0.60,5,60971.98
3,-1,-1,0.60,30,86542.96
3,-1,-1,0.60,55,168914.40
3,-1,-1,0.60,80,191797.18
3,-1,-1,0.60,105,235206.27
3,-1,-1,0.60,130,333833.59
3,-1,-1,0.60,155,373220.73
3,-1,-1,0.60,180,392475.00
3,-1,-1,0.60,205,419900.10
3,-1,-1,0.60,230,674535.19
3,-1,-1,0.60,255,696235.26
3,-1,-1,0.60,280,847563.82
3,-1,-1,0.70,5,60971.98
3,-1,-1,0.70,30,86542.96
3,-1,-1,0.70,55,168914.40
3,-1,-1,0.70,80,191797.18
3,-1,-1,0.70,105,234857.09
3,-1,-1,0.70,130,333594.11
3,-1,-1,0.70,155,372016.99
3,-1,-1,0.70,180,391517.39
3,-1,-1,0.70,205,419322.35
3,-1,-1,0.70,230,672408.94
3,-1,-1,0.70,255,694285.71
3,-1,-1,0.70,280,832596.32
3,-1,-1,0.80,5,60971.98
3,-1,-1,0.80,30,86542.96
