agents,kmax,percent,ratio,profit,distance
4,-1,40,-1.00,5,60971.98
4,-1,40,-1.00,30,86586.50
4,-1,40,-1.00,55,169130.77
4,-1,40,-1.00,80,196038.63
4,-1,40,-1.00,105,246862.45
4,-1,40,-1.00,130,347226.12
4,-1,40,-1.00,155,386337.69
4,-1,40,-1.00,180,458992.31
4,-1,40,-1.00,205,519292.50
4,-1,40,-1.00,230,777275.94
4,-1,40,-1.00,255,818157.16
4,-1,40,-1.00,280,968815.66
4,-1,50,-1.00,5,60971.98
4,-1,50,-1.00,30,86586.50
4,-1,50,-1.00,55,169130.77
4,-1,50,-1.00,80,196038.63
4,-1,50,-1.00,105,246771.67
4,-1,50,-1.00,130,346385.16
4,-1,50,-1.00,155,391054.93
4,-1,50,-1.00,180,464747.69
4,-1,50,-1.00,205,524510.90
4,-1,50,-1.00,230,769351.89
4,-1,50,-1.00,255,798655.47
4,-1,50,-1.00,280,943050.72
4,-1,60,-1.00,5,60971.98
4,-1,60,-1.00,30,86586.50
4,-1,60,-1.00,55,169130.77
4,-1,60,-1.00,80,196038.63
4,-1,60,-1.00,105,246650.77
4,-1,60,-1.00,130,346702.44
4,-1,60,-1.00,155,390902.05
4,-1,60,-1.00,180,462206.70
4,-1,60,-1.00,205,524429.58
4,-1,60,-1.00,230,765261.36
4,-1,60,-1.00,255,798077.83
4,-1,60,-1.00,280,944442.24
4,-1,70,-1.00,5,60971.98
4,-1,70,-1.00,30,86586.50
4,-1,70,-1.00,55,169130.77
4,-1,70,-1.00,80,196038.63
4,-1,70,-1.00,105,246743.85
4,-1,70,-1.00,130,344436.25
4,-1,70,-1.00,155,385555.42
4,-1,70,-1.00,180,455716.37
4,-1,70,-1.00,205,517871.91
4,-1,70,-1.00,230,767153.40
4,-1,70,-1.00,255,796523.99
4,-1,70,-1.00,280,965773.19
4,-1,80,-1.00,5,60971.98
4,-1,80,-1.00,30,86586.50
4,-1,80,-1.00,55,169130.77
4,-1,80,-1.00,80,196038.63
4,-1,80,-1.00,105,246707.16
4,-1,80,-1.00,130,345012.48
4,-1,80,-1.00,155,387871.32
4,-1,80,-1.00,180,455050.38
4,-1,80,-1.00,205,520343.50
4,-1,80,-1.00,230,763037.93
4,-1,80,-1.00,255,793180.01
4,-1,80,-1.00,280,965241.62
4,-1,90,-1.00,5,60971.98
4,-1,90,-1.00,30,86586.50
4,-1,90,-1.00,55,169130.77
4,-1,90,-1.00,80,196038.63
4,-1,90,-1.00,105,246693.85
4,-1,90,-1.00,130,344948.51
4,-1,90,-1.00,155,386564.46
4,-1,90,-1.00,180,457187.09
4,-1,90,-1.00,205,522062.43
4,-1,90,-1.00,230,764541.98
4,-1,90,-1.00,255,795537.23
4,-1,90,-1.00,280,941873.90
4,-1,100,-1.00,5,60971.98
4,-1,100,-1.00,30,86586.50
4,-1,100,-1.00,55,169130.77
4,-1,100,-1.00,80,196038.63
4,-1,100,-1.00,105,246862.45
4,-1,100,-1.00,130,347254.23
4,-1,100,-1.00,155,386895.79
4,-1,100,-1.00,180,463719.80
4,-1,100,-1.00,205,567764.84
4,-1,100,-1.00,230,795634.32
4,-1,100,-1.00,255,866844.79
4,-1,100,-1.00,280,1144782.16
8,-1,-1,-1.00,5,60971.98
8,-1,-1,-1.00,30,86586.50
8,-1,-1,-1.00,55,169160.13
8,-1,-1,-1.00,80,196093.17
8,-1,-1,-1.00,105,251119.48
8,-1,-1,-1.00,130,360651.78
8,-1,-1,-1.00,155,404242.62
8,-1,-1,-1.00,180,553329.99
8,-1,-1,-1.00,205,814874.17
8,-1,-1,-1.00,230,988736.83
8,-1,-1,-1.00,255,1213687.37
8,-1,-1,-1.00,280,1499717.67
8,-1,10,-1.00,5,60971.98
8,-1,10,-1.00,30,86586.50
8,-1,10,-1.00,55,169160.13
8,-1,10,-1.00,80,196093.17
8,-1,10,-1.00,105,251119.48
8,-1,10,-1.00,130,360651.78
8,-1,10,-1.00,155,404586.22
8,-1,10,-1.00,180,556047.41
8,-1,10,-1.00,205,867742.93
8,-1,10,-1.00,230,1002350.57
8,-1,10,-1.00,255,1279025.26
8,-1,10,-1.00,280,1563625.27
8,-1,20,-1.00,5,60971.98
8,-1,20,-1.00,30,86586.50
8,-1,20,-1.00,55,169160.13
8,-1,20,-1.00,80,196093.17
8,-1,20,-1.00,105,251119.48
8,-1,20,-1.00,130,360651.78
8,-1,20,-1.00,155,404586.22
8,-1,20,-1.00,180,556047.41
8,-1,20,-1.00,205,867742.93
8,-1,20,-1.00,230,1001451.36
8,-1,20,-1.00,255,1277857.20
8,-1,20,-1.00,280,1555611.17
8,-1,30,-1.00,5,60971.98
8,-1,30,-1.00,30,86586.50
8,-1,30,-1.00,55,169160.13
8,-1,30,-1.00,80,196093.17
8,-1,30,-1.00,105,251119.48
8,-1,30,-1.00,130,360651.78
8,-1,30,-1.00,155,404586.22
8,-1,30,-1.00,180,556082.32
8,-1,30,-1.00,205,867752.06
8,-1,30,-1.00,230,1001299.89
8,-1,30,-1.00,255,1241591.29
8,-1,30,-1.00,280,1543514.70
8,-1,40,-1.00,5,60971.98
8,-1,40,-1.00,30,86586.50
8,-1,40,-1.00,55,169160.13
8,-1,40,-1.00,80,196093.17
8,-1,40,-1.00,105,251119.48
8,-1,40,-1.00,130,360651.78
8,-1,40,-1.00,155,404567.15
8,-1,40,-1.00,180,555754.11
8,-1,40,-1.00,205,852316.26
8,-1,40,-1.00,230,996807.13
8,-1,40,-1.00,255,1225578.76
8,-1,40,-1.00,280,1528315.70
8,-1,50,-1.00,5,60971.98
8,-1,50,-1.00,30,86586.50
8,-1,50,-1.00,55,169160.13
8,-1,50,-1.00,80,196093.17
8,-1,50,-1.00,105,251119.48
8,-1,50,-1.00,130,360651.78
8,-1,50,-1.00,155,404116.69
8,-1,50,-1.00,180,554888.75
8,-1,50,-1.00,205,815685.30
8,-1,50,-1.00,230,990940.11
8,-1,50,-1.00,255,1218586.06
8,-1,50,-1.00,280,1526838.81
8,-1,60,-1.00,5,60971.98
8,-1,60,-1.00,30,86586.50
8,-1,60,-1.00,55,169160.13
8,-1,60,-1.00,80,196093.17
8,-1,60,-1.00,105,251119.48
8,-1,60,-1.00,130,360651.78
8,-1,60,-1.00,155,404084.08
8,-1,60,-1.00,180,553972.07
8,-1,60,-1.00,205,817079.19
8,-1,60,-1.00,230,990366.93
8,-1,60,-1.00,255,1220537.97
8,-1,60,-1.00,280,1517447.07
8,-1,70,-1.00,5,60971.98
8,-1,70,-1.00,30,86586.50
8,-1,70,-1.00,55,169160.13
8,-1,70,-1.00,80,196093.17
8,-1,70,-1.00,105,251119.48
8,-1,70,-1.00,130,360651.78
8,-1,70,-1.00,155,404235.71
8,-1,70,-1.00,180,553354.77
8,-1,70,-1.00,205,810517.63
